Active Ingredient,Trade Name,AUST R,Expected Supply,Availability,Management Action,Updated
ioversol,OPTIRAY 350 Ioversol 74% w/v 55.575g/75mL injection vial,AUST R: 47997,,Availability: Unavailable,"Management action: OPTIRAY 350 Ioversol 74% w/v 55.575g/75mL injection vial (AUST R: 47997) has been in long term shortage since 2022. The sponsor has made the commercial decision to discontinue this product. For further information, contact Guerbet Australia Pty Ltd on 02 8075 3007.",Updated 11-02-2025
ioversol,OPTIRAY 350 Ioversol 74% w/v 148.2g/200mL injection vial,AUST R: 49612,,Availability: Unavailable,"Management action: OPTIRAY 350 Ioversol 74% w/v 148.2g/200mL injection vial (AUST R: 49612) has been in long term shortage since 2022. The sponsor has made the commercial decision to discontinue this product. For further information, contact Guerbet Australia Pty Ltd on 02 8075 3007.",Updated 11-02-2025
ioversol,OPTIRAY 320 Ioversol 84.75 g/125 mL injection syringe (power injector),AUST R: 46642,,Availability: Unavailable,"Management action: OPTIRAY 320 Ioversol 84.75 g/125 mL injection syringe (power injector) (AUST R: 46642) has been in long term shortage since 2022. The sponsor has made the commercial decision to discontinue this product. For further information, contact Guerbet Australia Pty Ltd on 02 8075 3007.",Updated 11-02-2025
ioversol,OPTIRAY 320 ULTRAJECT ioversol 50.8g/75mL injection syringe,AUST R: 73580,,Availability: Unavailable,"Management action: OPTIRAY 320 ULTRAJECT ioversol 50.8g/75mL injection syringe (AUST R: 73580) has been in long term shortage since 2022. The sponsor has made the commercial decision to discontinue this product. For further information, contact Guerbet Australia Pty Ltd on 02 8075 3007.",Updated 11-02-2025
ioversol,OPTIRAY 320 Ioversol 33.9 g/50 mL injection syringe (hand held and power injector),AUST R: 46641,,Availability: Unavailable,"Management action: OPTIRAY 320 Ioversol 33.9 g/50 mL injection syringe (hand held and power injector) (AUST R: 46641) has been in long term shortage since 2022. The sponsor has made the commercial decision to discontinue this product. For further information, contact Guerbet Australia Pty Ltd on 02 8075 3007.",Updated 11-02-2025
ioversol,OPTIRAY 240 Ioversol 63.63 g/125 mL injection syringe (power injector),AUST R: 46640,,Availability: Unavailable,"Management action: OPTIRAY 240 Ioversol 63.63 g/125 mL injection syringe (power injector) (AUST R: 46640) has been in long term shortage since 2022. The sponsor has made the commercial decision to discontinue this product. For further information, contact Guerbet Australia Pty Ltd on 02 8075 3007.",Updated 11-02-2025
ioversol,OPTIRAY 350 ULTRAJECT Ioversol 74% w/v 37.05g/50mL injection syringe,AUST R: 51796,,Availability: Unavailable,"Management action: OPTIRAY 350 ULTRAJECT Ioversol 74% w/v 37.05g/50mL injection syringe (AUST R: 51796) has been in long term shortage since 2022. The sponsor has made the commercial decision to discontinue this product. For further information, contact Guerbet Australia Pty Ltd on 02 8075 3007.",Updated 11-02-2025
colistimethate sodium,"COLISTIN LINK colistimethate sodium (equivalent to colistin 150 mg, 4,500,000 IU)  powder for injection vial",AUST R: 14667,,Availability: Reduction in supply until supply is exhausted,,Updated 07-02-2025
oxytocin,VIATOCINON oxytocin 10 IU/1 mL injection ampoule,AUST R: 164131,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 28-01-2025
methylphenidate hydrochloride,METHYLPHENIDATE XR ARX methylphenidate hydrochloride 54 mg modified release tablet bottle,AUST R: 344275,,Availability: Reduction in supply until supply is exhausted,"Management action: The sponsor is closely monitoring the supply.Patients are advised to consult their healthcare professional to discuss their options. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 24-01-2025
afatinib dimaleate,GIOTRIF afatinib 50 mg (as dimaleate) film coated tablet blister pack,AUST R: 201320,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative strengths are available.,Updated 24-01-2025
adrenaline (epinephrine) acid tartrate,"BUPIVADREN Bupivacaine 0.5% w/v with Adrenaline (epinephrine) 1:200,000 injection solution vial",AUST R: 292528,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 21-01-2025
fluticasone propionate,FLIXONASE NASULE DROPS fluticasone propionate 400mcg unit dose ampoule strip pack,AUST R: 71294,,Availability: Unavailable,Management action: Patients are advised to consult their healthcare professionals to discuss alternative treatment options.,Updated 16-01-2025
fluticasone propionate,FLIXOTIDE NEBULES fluticasone propionate 2.0mg/2mL inhalation ampoule,AUST R: 69002,,Availability: Unavailable,Management action: Patients are advised to consult their healthcare professionals to discuss alternative treatment options.,Updated 16-01-2025
omeprazole,MAXOR EC TABS omeprazole 20 mg enteric-coated tablet blister pack,AUST R: 345292,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 15-01-2025
cefaclor monohydrate,CEFACLOR SUN cefaclor 250mg/5mL (as monohydrate)  powder for oral liquid bottle,AUST R: 226401,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 13-01-2025
Tocilizumab,ACTEMRA tocilizumab (rch) 162 mg/0.9 mL solution for injection pre-filled syringe,AUST R: 234034,,Availability: Unavailable,Management action: This product was replaced with a new formulation in August 2024. See ARTG entry 370314.,Updated 13-01-2025
Tocilizumab,"ACTEMRA tocilizumab (rch) 162 mg/0.9 mL solution for injection pre-filled pen, ACTPen Autoinjector",AUST R: 296808,,Availability: Unavailable,Management action: This product was replaced with a new formulation in May 2024. See ARTG entry 370315.,Updated 13-01-2025
Adalimumab,ADALICIP adalimumab 40 mg/0.4 mL solution for subcutaneous injection pre-filled pen,AUST R: 374376,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative brands are available.,Updated 09-01-2025
Meningococcal polysaccharide group C,NEISVAC-C VACCINE meningococcal group c polysaccharide conjugate vaccine suspension for injection syringe,AUST R: 83093,,Availability: Reduction in supply until supply is exhausted,Management action: Reduction in supply until supply is exhausted. Patients are advised to consult their health professional to discuss alternative options.,Updated 09-01-2025
ethosuximide,ZARONTIN ethosuximide 250mg capsule bottle,AUST R: 94175,,Availability: Unavailable,"Management action: This product is being replaced by ZARONTIN ethosuximide 250mg capsule bottle (ARTG 461005). An unregistered product has been approved for supply under Section 19A. The approval holder, Clinect Pty Ltd, can be contacted for details on supply on 1800 899 005.",Updated 08-01-2025
tamoxifen citrate,TAMOSIN tamoxifen 20mg (as citrate) tablet bottle,AUST R: 43527,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 06-01-2025
toremifene citrate,FARESTON toremifene (as citrate) 60mg tablet blister pack,AUST R: 59743,,Availability: Reduction in supply until supply is exhausted,Management action: Patients are advised to consult their health professional to discuss alternative treatment options,Updated 24-12-2024
piperacillin sodium,TAZOPIP 4 g/0.5 g piperacillin (as sodium) 4 g and tazobactam (as sodium) 0.5 g powder for injection vial,AUST R: 144970,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 19-12-2024
gemeprost,CERVAGEM gemeprost 1mg vaginal pessaries strip pack,AUST R: 27491,,Availability: Reduction in supply until supply is exhausted,Management action: Patients are advised to consult their healthcare professional to discuss alternative treatment options.,Updated 17-12-2024
ramucirumab,CYRAMZA ramucirumab 100 mg/10 mL solution for intravenous infusion vial,AUST R: 227351,,Availability: Reduction in supply until supply is exhausted,Management action: Patients are advised to consult their healthcare professional to discuss alternative treatment options.,Updated 13-12-2024
codeine phosphate hemihydrate,IBUPROFEN/CODEINE-TIH 200/12.8 tablet blister pack,AUST R: 158210,,Availability: Unavailable,Management action: Alternative brands are available. This product is being replaced by IBUDEINE (ARTG ID 227876).,Updated 12-12-2024
daptomycin,DAPTOMYCIN ACCORD daptomycin 500 mg powder for injection vial,AUST R: 315393,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 12-12-2024
drospirenone,PETIBELLE ethinylestradiol 30 microgram/ drospirenone 3 mg film coated tablet blister pack,AUST R: 226240,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative brands are available.,Updated 12-12-2024
cisatracurium besilate,CISATRACURIUM ACCORD cisatracurium (as besilate) 10 mg / 5 mL solution for injection vial,AUST R: 222405,,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 11-12-2024
droperidol,DROLEPTAN droperidol 2.5mg/1mL injection ampoule,AUST R: 46841,,Availability: Unavailable,Management action: Alternative brand is available.,Updated 10-12-2024
duloxetine hydrochloride,TIXOL 60 duloxetine (as hydrochloride) 60 mg enteric capsule blister pack,AUST R: 199265,,Availability: Unavailable,Management action: This product is being replaced by TIXOL 60 duloxetine (as hydrochloride) 60 mg enteric capsule blister pack (AUST R 428624),Updated 10-12-2024
duloxetine hydrochloride,TIXOL 30 duloxetine (as hydrochloride) 30 mg enteric capsule blister pack,AUST R: 199256,,Availability: Unavailable,Management action: This product is being replaced by TIXOL 30 duloxetine (as hydrochloride) 30 mg enteric capsule blister pack (AUST R 428623),Updated 10-12-2024
fosinopril sodium,MONOPRIL fosinopril sodium 10mg tablet blister pack,AUST R: 46475,,Availability: Reduction in supply until supply is exhausted,Management action: Reduction in supply until supply is exhausted Patients are advised to consult their health professional to discuss alternative treatment options,Updated 10-12-2024
pantoprazole sodium sesquihydrate,PANTOPRAZOLE SANDOZ pantoprazole (as sodium sesquihydrate) 40 mg powder for injection vial,AUST R: 147377,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 09-12-2024
hydromorphone hydrochloride,DILAUDID hydromorphone hydrochloride 2mg/1mL injection ampoule,AUST R: 272632,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 03-12-2024
rasagiline mesilate,RASAGILINE SANDOZ rasagiline (as mesilate) 1 mg tablet blister pack,AUST R: 356090,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative brands are available.,Updated 01-12-2024
Follitropin beta,RECAGON follitropin beta (rch) 300 IU solution for injection cartridge,AUST R: 393991,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative brand is available.,Updated 22-11-2024
Follitropin beta,RECAGON follitropin beta (rch) 900 IU solution for injection cartridge.,AUST R: 393993,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative brand is available.,Updated 22-11-2024
morphine sulfate pentahydrate,MS MONO morphine sulfate pentahydrate 120mg modified release capsule blister pack,AUST R: 74150,,Availability: Unavailable,Management action: The TGA is in consultation with subject matter experts and sponsors to develop a management strategy.,Updated 19-11-2024
betaxolol hydrochloride,BETOPTIC betaxolol 5mg/mL (as hydrochloride) eye drops bottle,AUST R: 25272,,Availability: Reduction in supply until supply is exhausted,Management action: Patients are advised to consult their healthcare professionals to discuss alternative treatment options.,Updated 18-11-2024
betaxolol hydrochloride,BETOQUIN betaxolol 5.0mg/mL (as hydrochloride) eye drops solution bottle,AUST R: 55618,,Availability: Reduction in supply until supply is exhausted,Management action: Patients are advised to consult their health professional to discuss alternative treatment options.,Updated 18-11-2024
HPV Type 16 L1 Protein,"CERVARIX human papillomavirus vaccine types 16 and 18 [recombinant, AS04 adjuvanted] suspension for injection pre-filled syringe",AUST R: 126114,,Availability: Unavailable,Management action: Patients are advised to consult their health professional to discuss alternative treatment options.,Updated 13-11-2024
morphine sulfate pentahydrate,SEVREDOL morphine sulfate pentahydrate 10mg tablet blister pack,AUST R: 47543,,Availability: Unavailable,Management action: Alternative products are available.,Updated 08-11-2024
fluconazole,FLUZOLE 200 fluconazole 200mg capsule blister pack,AUST R: 120778,,Availability: Reduction in supply until supply is exhausted,Management action: This product is being replaced by APO-FLUCONAZOLE fluconazole 200 mg capsule blister pack (ARTG 293315),Updated 07-11-2024
amoxicillin trihydrate,APX-AMOXICILLIN/CLAVULANIC ACID 500/125 amoxicillin 500 mg (as trihydrate) & clavulanic acid 125 mg (as potassium) tablet strip pack,AUST R: 351832,,Availability: Reduction in supply until supply is exhausted,Management action: This product is being replaced by APO-AMOXY/CLAV 500/125 amoxicillin 500 mg and clavulanic acid 125 mg tablets blister pack ARTG:255075,Updated 07-11-2024
gefitinib,IRESSA gefitinib 250 mg tablet blister pack,AUST R: 90010,,Availability: Reduction in supply until supply is exhausted,Management action: Patients are advised to consult their healthcare professionals to discuss alternative treatment options.,Updated 05-11-2024
morphine sulfate pentahydrate,MS MONO morphine sulfate pentahydrate 90mg modified release capsule blister pack,AUST R: 74152,,Availability: Unavailable,Management action: The TGA is in consultation with subject matter experts and sponsors to develop a management strategy.,Updated 04-11-2024
quinagolide hydrochloride,NORPROLAC quinagolide 75 micrograms (as hydrochloride) tablet blister pack,AUST R: 48991,,Availability: Reduction in supply until supply is exhausted,Management action: Patients are advised to consult their health professional to discuss alternative treatment options.,Updated 04-11-2024
dasatinib propylene glycol,DASATINIB DR.REDDYS dasatinib 20 mg film coated tablet blister pack,AUST R: 337458,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 30-10-2024
cefepime hydrochloride monohydrate,CEFEPIME KABI cefepime (as hydrochloride) 1 g powder for injection vial,AUST R: 227966,,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 30-10-2024
cefepime hydrochloride monohydrate,CEFEPIME KABI cefepime (as hydrochloride) 2 g powder for injection vial,AUST R: 227965,,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 30-10-2024
morphine sulfate pentahydrate,MS MONO morphine sulfate pentahydrate 60mg modified release capsule blister pack,AUST R: 74154,,Availability: Unavailable,Management action: The TGA is in consultation with subject matter experts and sponsors to develop a management strategy.,Updated 28-10-2024
midazolam,Midazolam-Baxter midazolam (as hydrochloride) 5mg/5 mL solution for injection ampoule,AUST R: 216025,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 28-10-2024
azacitidine,AZACITIDINE-TEVA azacitidine 100 mg powder for injection vial,AUST R: 299040,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available,Updated 24-10-2024
enoxaparin sodium,EXARANE enoxaparin sodium 20mg/0.2mL solution for injection prefilled syringe,AUST R: 375494,,Availability: Reduction in supply until supply is exhausted,Management action: Other generic by same sponsor available – EXARANE enoxaparin sodium 20mg/0.2mL solution for injection prefilled syringe with safety lock system (ARTG 429094),Updated 16-10-2024
rocuronium bromide,ESMERON rocuronium bromide 50 mg/5 mL injection vial,AUST R: 57063,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic product is available.,Updated 15-10-2024
daunorubicin,Pfizer (Australia) DAUNORUBICIN (as hydrochloride) 20mg/10mL injection vial,AUST R: 12723,,Availability: Reduction in supply until supply is exhausted,Management action: The product will be replaced by: PFIZER DAUNORUBICIN daunorubicin (as hydrochloride) 18.7 mg powder for injection vial	 ARTG 399600,Updated 15-10-2024
Adalimumab,ADALICIP adalimumab 40 mg/0.4 mL solution for subcutaneous injection pre-filled syringe,AUST R: 374375,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative brands are available.,Updated 08-10-2024
fluoxetine hydrochloride,PROZAC 20 fluoxetine 20mg (as hydrochloride) capsule blister pack,AUST R: 14653,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-10-2024
duloxetine hydrochloride,CYMBALTA duloxetine 30 mg (as hydrochloride) enteric capsule blister pack,AUST R: 120382,,Availability: Unavailable,,Updated 04-10-2024
duloxetine hydrochloride,CYMBALTA duloxetine 60 mg (as hydrochloride) enteric capsule blister pack,AUST R: 120389,,Availability: Unavailable,,Updated 04-10-2024
Liraglutide,VICTOZA liraglutide (rys) 6mg/mL solution for injection pre-filled pen,AUST R: 153980,,Availability: Unavailable,Management action: An alternative presentation is available.,Updated 04-10-2024
Follitropin beta,RECAGON follitropin beta (rch) 600 IU solution for injection cartridge,AUST R: 393992,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative brand is available.,Updated 01-10-2024
lurasidone hydrochloride,LATUDA lurasidone hydrochloride 80 mg film-coated tablet blister pack,AUST R: 206651,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 26-09-2024
lurasidone hydrochloride,LATUDA lurasidone hydrochloride 40 mg film-coated tablet blister pack,AUST R: 206650,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 26-09-2024
propofol,PROVIVE MCT-LCT 1% propofol 500mg/50mL emulsion for injection vial,AUST R: 162319,,Availability: Reduction in supply until supply is exhausted,Management action: This product will be replaced by PROVIVE 1% propofol 500mg/50mL emulsion for injection vial (ARTG 118939).,Updated 26-09-2024
ramipril,RAMIPRIL WINTHROP ramipril 10mg capsule hard blister pack.,AUST R: 128853,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 26-09-2024
midazolam,Midazolam-Baxter midazolam (as hydrochloride) 5mg/1 mL solution for injection ampoule,AUST R: 216024,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 24-09-2024
hydromorphone hydrochloride,DILAUDID-HP hydromorphone hydrochloride 50mg/1mL injection ampoule,AUST R: 272634,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative generic product is available.,Updated 23-09-2024
hydromorphone hydrochloride,DILAUDID-HP hydromorphone hydrochloride 10mg/1mL injection ampoule,AUST R: 272633,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 23-09-2024
Insulin aspart,RYZODEG 70/30 FLEXTOUCH 70% insulin degludec (rys) / 30% insulin aspart (rys) 100 U/mL solution for injection cartridge,AUST R: 280432,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative presentation is available.,Updated 19-09-2024
cisatracurium besilate,CISATRACURIUM ACCORD cisatracurium (as besilate) 150 mg / 30 mL solution for injection vial,AUST R: 222413,,Availability: Unavailable,,Updated 19-09-2024
insulin,PROTAPHANE INNOLET human insulin (rys) 100IU/mL injection multidose cartridge,AUST R: 169633,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative presentation is available.,Updated 19-09-2024
insulin,PROTAPHANE PENFILL human insulin (rys) 100IU/mL injection multidose cartridge,AUST R: 169635,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative presentation is available.,Updated 19-09-2024
Insulin aspart,FIASP FLEXTOUCH insulin aspart (rys) 100 units/mL solution for injection 3 mL pre-filled pen,AUST R: 275394,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative presentation is available.,Updated 19-09-2024
Insulin aspart,FIASP insulin aspart (rys) 100 units/mL solution for injection 10 mL vial,AUST R: 275375,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative presentation is available.,Updated 19-09-2024
Insulin detemir,LEVEMIR FLEXPEN insulin detemir (rys) 100 U/mL injection cartridge,AUST R: 172234,,Availability: Reduction in supply until supply is exhausted,Management action: The TGA is investigating management strategies and will consult with subject matter experts and sponsors. The sponsor will continue to supply until the market deletion date.,Updated 19-09-2024
Insulin detemir,LEVEMIR PENFILL insulin detemir (rys) 100 U/mL injection cartridge,AUST R: 172213,,Availability: Reduction in supply until supply is exhausted,Management action: The TGA is investigating management strategies and will consult with subject matter experts and sponsors. The sponsor will continue to supply until the market deletion date.,Updated 19-09-2024
insulin,ACTRAPID PENFILL human insulin (rys) 100IU/mL injection multidose cartridge,AUST R: 169623,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative presentation is available.,Updated 19-09-2024
noradrenaline (norepinephrine) acid tartrate monohydrate,Levophed 1:1000 noradrenaline (norepinephrine) 4mg / 4mL Concentrate for IV Injection vial,AUST R: 183622,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 16-09-2024
lenalidomide,CIPLA LENALIDOMIDE lenalidomide 15 mg capsule blister pack,AUST R: 307063,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 16-09-2024
lenalidomide,CIPLA LENALIDOMIDE lenalidomide 5 mg capsule blister pack,AUST R: 307042,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 16-09-2024
lenalidomide,CIPLA LENALIDOMIDE lenalidomide 10 mg capsule blister pack,AUST R: 307043,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 16-09-2024
lenalidomide,CIPLA LENALIDOMIDE lenalidomide 25 mg capsule blister pack,AUST R: 307065,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 16-09-2024
siponimod hemifumarate,MAYZENT siponimod 0.25 mg film coated tablet blister pack,AUST R: 310498,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative strengths are available. The sponsor is replacing this product with an alternative product - MAYZENT siponimod 1 mg film coated tablet blister pack (AUST R 395451),Updated 15-09-2024
phenytoin sodium,DBL PHENYTOIN INJECTION 100mg/2mL ampoule,AUST R: 46942,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 13-09-2024
olanzapine,OLANZAPINE ODT GENERICHEALTH 10 olanzapine 10 mg orodispersible tablet blister pack,AUST R: 177793,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 03-09-2024
montelukast sodium,LUKAIR montelukast (as sodium) 10 mg film-coated tablet blister pack,AUST R: 197285,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 30-08-2024
bortezomib,DBL BORTEZOMIB 2.5 mg powder for injection vial,AUST R: 275710,,Availability: Reduction in supply until supply is exhausted,Management action: An alternative product is available.,Updated 30-08-2024
vincristine sulfate,Pfizer (Australia) VINCRISTINE SULFATE 2mg/2mL injection vial,AUST R: 48055,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 28-08-2024
metformin hydrochloride,DIAFORMIN XR metformin hydrochloride 500mg extended release tablet blister pack,AUST R: 120868,,Availability: Unavailable,Management action: This product is being replaced by Diaformin XR Apharm 500mg 120BL AU (ARTG 232658),Updated 26-08-2024
perindopril erbumine,PERINDO 2 perindopril erbumine 2mg tablet blister pack,AUST R: 121747,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 26-08-2024
perindopril erbumine,PERINDO 4 perindopril erbumine 4mg tablet blister pack,AUST R: 121748,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 26-08-2024
perindopril erbumine,PERINDO 8 perindopril erbumine 8mg tablet blister pack,AUST R: 121749,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 26-08-2024
insulin,MIXTARD 30/70 PENFILL human insulin (rys) 100IU/mL injection multidose cartridge,AUST R: 169629,,Availability: Unavailable,Management action: Alternative products are available,Updated 26-08-2024
enoxaparin sodium,EXARANE enoxaparin sodium 40mg/0.4mL solution for injection prefilled syringe,AUST R: 375490,,Availability: Reduction in supply until supply is exhausted,Management action: Other generic by same sponsor available – EXARANE enoxaparin sodium 40mg/0.4mL solution for injection prefilled syringe with safety lock system (ARTG 429090),Updated 23-08-2024
enoxaparin sodium,EXARANE FORTE enoxaparin sodium 120mg/0.8mL solution for injection prefilled syringe,AUST R: 375492,,Availability: Reduction in supply until supply is exhausted,Management action: Other generic by same sponsor available – EXARANE FORTE enoxaparin sodium 120mg/0.8mL solution for injection prefilled syringe with safety lock system (ARTG 429092),Updated 23-08-2024
nortriptyline hydrochloride,NortriTABS nortriptyline (as hydrochloride) 10 mg uncoated tablet blister pack,AUST R: 220998,,Availability: Unavailable,Management action: An alternative brand is available.,Updated 19-08-2024
nortriptyline hydrochloride,NortriTABS nortriptyline (as hydrochloride) 25 mg uncoated tablet blister pack,AUST R: 220997,,Availability: Unavailable,Management action: Alternative generic product is available.,Updated 19-08-2024
valaciclovir hydrochloride monohydrate,VALACICLOVIR GENERICHEALTH valaciclovir hydrochloride 500mg tablet blister pack,AUST R: 170178,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 15-08-2024
adrenaline (epinephrine) acid tartrate,"XYLOCAINE 0.5% WITH ADRENALINE 1:200,000 20mL injection vial",AUST R: 12008,,Availability: Unavailable,Management action: Products are available in another presentation.,Updated 14-08-2024
eprosartan mesilate,TEVETEN PLUS 600/12.5 eprosartan 600mg/hydrochlorothiazide 12.5mg tablet blister pack,AUST R: 143172,,Availability: Unavailable,,Updated 13-08-2024
zolpidem tartrate,DORMIZOL Zolpidem tartrate 10mg tablet blister pack,AUST R: 117953,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 13-08-2024
eprosartan mesilate,TEVETEN eprosartan 400mg (as mesilate) tablet blister pack,AUST R: 64400,,Availability: Unavailable,,Updated 12-08-2024
betahistine dihydrochloride,BETASERT betahistine dihydrochloride 16 mg tablets blister packs,AUST R: 212080,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 12-08-2024
fentanyl,DENPAX fentanyl 75 micrograms/hour transdermal patch,AUST R: 163065,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 12-08-2024
fentanyl,DENPAX fentanyl 12 micrograms/hour transdermal patch,AUST R: 163066,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 12-08-2024
tobramycin,Pfizer (Australia) TOBRAMYCIN (as sulfate) 80 mg/2 mL injection BP ampoule,AUST R: 101217,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 12-08-2024
betahistine dihydrochloride,APO-BETAHISTINE betahistine dihydrochloride 16 mg uncoated tablet blister pack,AUST R: 217105,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 09-08-2024
roxithromycin,ROXIMYCIN roxithromycin 150mg tablet blister pack,AUST R: 99937,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 08-08-2024
roxithromycin,ROXIMYCIN roxithromycin 300mg tablet blister pack,AUST R: 99939,,Availability: Unavailable,Management action: Alternative generic products are availalbe.,Updated 08-08-2024
hydrocortisone acetate,COLIFOAM (10% w/w Hydrocortisone Acetate) Rectal Foam Cream aerosol can,AUST R: 43026,,Availability: Unavailable,,Updated 07-08-2024
mycophenolate mofetil,CEPTOLATE mycophenolate mofetil 250mg capsule blister pack,AUST R: 165766,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 07-08-2024
fentanyl,DENPAX fentanyl 100 micrograms/hour transdermal patch,AUST R: 163067,,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 07-08-2024
ketorolac trometamol,KETORAL ketorolac trometamol 30mg/1mL injection syringe,AUST R: 144524,,Availability: Reduction in supply until supply is exhausted,Management action: Alternative generic products are available.,Updated 07-08-2024
eprosartan mesilate,TEVETEN eprosartan 600mg (as mesilate) tablet blister pack,AUST R: 73779,,Availability: Reduction in supply until supply is exhausted,,Updated 07-08-2024
ephedrine hydrochloride,EPHEDRINE HYDROCHLORIDE JUNO ephedrine hydrochloride 30 mg/10 mL solution for injection ampoule,AUST R: 285492,,Availability: Reduction in supply until supply is exhausted,Management action: Reduction in supply until supply is exhausted. Alternative products are available.,Updated 07-08-2024
ramipril,TRYZAN TABS 10 ramipril 10 mg tablets blister pack,AUST R: 129921,,Availability: Reduction in supply until supply is exhausted,Management action: This product is being replaced by an alternative product: RAMIPRIL VIATRIS ramipril 10 mg tablets blister pack ARTG 385152,Updated 06-08-2024
ramipril,TRYZAN TABS 5 ramipril 5.0 mg tablets blister pack,AUST R: 129918,,Availability: Reduction in supply until supply is exhausted,Management action: This product is being replaced by an alternative product: RAMIPRIL VIATRIS ramipril 5 mg tablets blister pack ARTG 385155,Updated 06-08-2024
dorzolamide hydrochloride,COSOPT PRESERVATIVE-FREE dorzolamide (as hydrochloride) 20mg/mL and timolol (as maleate) 5mg/mL single dose eye drop ampoule,AUST R: 165915,,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 05-08-2024
fentanyl,DENPAX fentanyl 25 micrograms/hour transdermal patch,AUST R: 163068,,Availability: Reduction in supply until supply is exhausted,Management action: Reduction in supply until supply is exhausted. Alternative generic products are available.,Updated 05-08-2024
fentanyl,DENPAX fentanyl 50 micrograms/hour transdermal patch,AUST R: 163064,,Availability: Reduction in supply until supply is exhausted,Management action: Reduction in supply until supply is exhausted. Alternative products are available.,Updated 05-08-2024
